country,employer_name,location_name,location_state,location_country,job_title,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,total
US/EU,optum,"plymouth, mn",MN,US,software engineer,6.0,1.0,85000.0,3000.0,5000.0,1000,93000.0
US/EU,mathworks,boston metro,,,senior software engineer,10.0,4.0,115000.0,0.0,10000.0,0,125000.0
US/EU,american express,"phoenix, arizona",AZ,US,intern,0.0,0.0,60000.0,5000.0,,,65000.0
US/EU,hewlett packard enterprise,sunnyvale,,,software engineer,1.0,1.0,100000.0,10000.0,0.0,3000,110000.0
US/EU,salesforce,"seattle, wa",WA,US,senior software engineer,,2.0,125000.0,,18000.0,,143000.0
US/EU,autodesk,san francisco,,,software engineer,5.0,0.0,130000.0,0.0,13000.0,5000,143000.0
US/EU,directv/at&t,"culver city, ca",CA,US,application engineer,5.0,4.0,79000.0,0.0,10000.0,0,89000.0
US/EU,facebook,menlo park,,,software engineer,3.0,1.0,150000.0,50000.0,15000.0,100000,215000.0
US/EU,accretive technology group,seattle,,,software developer,1.0,1.0,75000.0,0.0,2000.0,0,77000.0
US/EU,sunpower,"richmond, ca",CA,US,financial engineer,0.0,1.0,87000.0,0.0,8000.0,0,95000.0
US/EU,mri software llc,"solon, oh",OH,US,software engineer,3.0,1.0,48500.0,,,,48500.0
US/EU,amazon,seattle,,,sde,4.0,4.0,91000.0,20000.0,0.0,35000,111000.0
US/EU,pricespy,"Ì_ngelholm, sweden",,SE,agent developer,0.0,1.0,300000.0,0.0,0.0,0,300000.0
US/EU,-,remote us,,,senior security engineer,12.0,3.0,115000.0,0.0,46000.0,0,161000.0
US/EU,microsoft,redmond,,,sde ii,3.0,3.0,145000.0,50000.0,28000.0,,223000.0
US/EU,synapticon,stuttgart,,,robotics/embedded systems engineer,0.0,0.0,43000.0,0.0,0.0,0,43000.0
US/EU,dropbox,san francisco,,,software engineer,5.0,2.5,140.0,30.0,0.0,,170.0
US/EU,quattro folia,helsinki,,,senior software engineer,9.0,1.0,6000.0,6000.0,0.0,0,12000.0
US/EU,justice systems,"albuquerque, nm",NM,US,software engineer,2.0,1.0,51000.0,0.0,0.0,0,51000.0
US/EU,google,mountain view,,,software engineer ii,2.0,2.0,131000.0,15000.0,20000.0,50000,166000.0
US/EU,apple,cupertino,,,data engineer/software engineer,6.0,2.5,145000.0,25000.0,20.0,100k $ annually,170020.0
US/EU,a stealth startup,washington d.c.,WA,US,lead,17.0,1.0,175000.0,0.0,10000.0,0,185000.0
US/EU,myself,"rennes, france",,FR,3d graphics engineer,5.0,1.5,15000.0,,,,15000.0
US/EU,iqmetrix,"regina, sk canada",,CA,software developer,0.0,1.0,55000.0,0.0,0.0,0,55000.0
US/EU,delaware north,"buffalo, ny",NY,US,data visualization engineer,3.0,0.0,80000.0,,,,80000.0
US/EU,pindrop,atlanta,,,operations engineer,4.0,1.0,85000.0,,8500.0,,93500.0
US/EU,twitter,sf,,,senior software engineer,8.0,1.0,170000.0,0.0,0.0,35000,170000.0
US/EU,series c saas provider,"san francisco, ca",CA,US,full stack engineer,16.0,2.0,132000.0,0.0,0.0,0,132000.0
US/EU,garmin,"olathe, ks",KS,US,software engineer 2,2.75,2.75,72200.0,4000.0,0.0,0,76200.0
US/EU,of oklahoma,"norman, ok",OK,US,it support technician iii,16.0,14.0,37500.0,0.0,0.0,0,37500.0
US/EU,aig,"wilton, ct usa",CT,US,microsoft developer for release management (grade 22),20.0,2.0,165000.0,20000.0,0.0,0,185000.0
US/EU,picwell,philadelphia,,,data scientist,2.0,1.0,75000.0,0.0,0.0,0,75000.0
US/EU,nope,united states,,US,software developer,5.0,4.0,61000.0,1000.0,1000.0,0,63000.0
US/EU,amazon,"seattle, wa",WA,US,sde i,2.0,0.5,105000.0,30000.0,,,135000.0
US/EU,igs energy,"columbus, oh",OH,US,application developer,3.0,1.0,65000.0,0.0,5000.0,0,70000.0
US/EU,software company,palo alto,,,ceo,10.0,2.0,100000.0,,,,100000.0
US/EU,spotx,"denver, co",CO,US,software engineer,7.0,2.0,84000.0,1500.0,1500.0,0,87000.0
US/EU,solarcity,sf,,,software engineer,3.0,2.0,120000.0,0.0,0.0,30000,120000.0
US/EU,perk,"austin, tx",TX,US,developer,2.0,0.0,54000.0,2500.0,0.0,0,56500.0
US/EU,building robotics,"oakland, ca",CA,US,senior backend engineer,9.0,2.0,145000.0,,,,145000.0
US/EU,ibm,"san diego, ca",CA,US,software developer,9.0,8.0,151000.0,15000.0,5000.0,5000,171000.0
US/EU,quicken loans,"detroit, mi",MI,US,sr. software engineer,5.0,3.0,82000.0,0.0,13000.0,0,95000.0
US/EU,bank,"stockholm, sweden",,SE,junior developer,1.0,1.0,48000.0,0.0,3000.0,3000 USD,51000.0
US/EU,ericsson,"southampton, uk",,,support engineer,3.0,3.0,62568.0,0.0,0.0,0,62568.0
US/EU,goldman sachs,london,,,analyst (technology),0.0,0.0,60000.0,13000.0,5000.0,0,78000.0
US/EU,of washington,"seattle, wa",WA,US,data scientist,10.0,4.0,101000.0,0.0,0.0,0,101000.0
US/EU,state of oregon,oregon,OR,US,senior software developer,10.0,5.0,80000.0,0.0,0.0,0,80000.0
US/EU,evertec,puerto rico,,PR,software developer,2.5,1.5,40000.0,,2.0,,40002.0
US/EU,nist,"gaithersburg, md",MD,US,postdoc,7.0,1.0,67000.0,0.0,0.0,0,67000.0
US/EU,emc,seattle,,,senior sde,5.0,5.0,132000.0,10000.0,15000.0,47600,157000.0
US/EU,bank,"warsaw, poland",,PL,data mining analyst,6.0,5.0,30000.0,0.0,0.0,0,30000.0
US/EU,digital agency,nyc,,,analyst,3.0,2.0,80000.0,0.0,1000.0,0,81000.0
US/EU,nasdaq,philadelphia,,,engineer,8.0,6.0,105000.0,,21000.0,21000,126000.0
US/EU,microsoft,redmond,,,sde 2,5.0,3.0,125000.0,5000.0,14000.0,3000,144000.0
US/EU,bi esfera,"asunciÌ_n, paraguay",,PY,senior developer,10.0,4.0,38400.0,0.0,3200.0,0,41600.0
US/EU,guidewire,"dublin, ireland",,IE,consultant,4.0,3.0,42000.0,0.0,6300.0,"âÂ20,000",48300.0
US/EU,spotify,nyc,,,engineer,10.0,2.0,187500.0,10.0,,20000,187510.0
US/EU,new york mets,"new york, new york",NE,US,pitcher,20.0,3.0,1000000.0,4500000.0,500000.0,0,6000000.0
US/EU,ticket broker,northern california,CA,US,chief of technology,15.0,3.0,125000.0,0.0,6000.0,8000,131000.0
US/EU,ibm canada,"toronto, canada",,CA,peoplesoft administrator,15.0,10.0,112000.0,0.0,0.0,0,112000.0
US/EU,microsoft,seattle,,,software engineer,1.0,1.0,105000.0,10000.0,,,115000.0
US/EU,freelance/consulting,"vancouver, canada",,CA,software engineer,9.0,7.0,270000.0,,,,270000.0
US/EU,cisco,canada,,CA,software engineer,15.0,3.0,110000.0,0.0,14000.0,20000,124000.0
US/EU,boutique development consulting,"denver,  co",CO,US,consultant,4.0,1.0,88000.0,,4500.0,,92500.0
US/EU,self-employed,"kingston, canada",,CA,consultant,10.0,,180000.0,,,,180000.0
US/EU,missouri  of science and technology,"rolla, mo, usa",MO,US,secondary cluster administrator,3.0,1.0,43000.0,0.0,0.0,0,43000.0
US/EU,non-profit,boston,,,techops manager,5.0,3.0,28800.0,0.0,500.0,0,29300.0
US/EU,canonical,remote,,,software engineer,10.0,1.0,120000.0,0.0,0.0,0,120000.0
US/EU,solidfire,"boulder, co",CO,US,senior software engineer,4.0,2.0,113000.0,0.0,9000.0,15000,122000.0
US/EU,zillow group,san francisco,,,senior software engineer,5.0,2.0,145000.0,10000.0,0.0,10000,155000.0
US/EU,microsoft,redmond,,,sde ii,11.0,4.0,102000.0,6000.0,13000.0,22000,121000.0
US/EU,google,mountain view,,,software engineer,4.0,1.0,130000.0,20000.0,20000.0,"40,000",170000.0
US/EU,microsoft,seattle,,,product manager,0.0,1.0,105000.0,20000.0,0.0,20000,125000.0
US/EU,facebook,menlo park,,,data scientist,4.0,4.0,206000.0,50000.0,50000.0,100000,306000.0
US/EU,amazon,"seattle, wa",WA,US,sr. product manager,7.0,2.7,128000.0,50000.0,,70000,178000.0
US/EU,microsoft,"seattle, wa",WA,US,software development engineer,10.0,10.0,190000.0,0.0,65000.0,68000,255000.0
US/EU,simplotel,"bangalore, india",,IN,senior software engineer,3.5,1.0,18000.0,0.0,,2250,18000.0
US/EU,interactive development agency,salt lake city,,,software developer,2.0,2.0,60000.0,0.0,0.0,0,60000.0
US/EU,popsugar,"san francisco, ca",CA,US,senior software engineer,12.0,1.0,135000.0,0.0,0.0,0,135000.0
US/EU,facebook,menlo park,,,software engineer,3.0,1.0,152000.0,22000.0,15000.0,80000,189000.0
US/EU,amazon,cape town,,,software development engineer ii,6.0,6.0,675000.0,,,"ZAR 675,000.00",675000.0
US/EU,med size us based it co.,"bristol, uk",,,software engineer,6.0,2.0,45000.0,,5.0,,45005.0
US/EU,google,london,,,web solutions engineer,8.0,4.0,88000.0,0.0,15000.0,35000,103000.0
US/EU,intergen,wellington,,,senior developer,6.0,2.0,90000.0,,,,90000.0
US/EU,epam systems,mountain view,,,lead software engineer,5.0,2.0,130000.0,0.0,20000.0,,150000.0
US/EU,google,mountain view,,,analyst,7.0,4.0,101000.0,7500.0,15000.0,50000,123500.0
US/EU,tapjoy,boston,,,senior engineer,6.0,3.0,110406.48,0.0,11040.0,0,121446.48
US/EU,private,"stuart, fl",FL,US,web developer,10.0,2.0,75000.0,0.0,0.0,0,75000.0
US/EU,facebook,menlo park,,,software engineering intern,1.0,0.0,96000.0,0.0,0.0,0,96000.0
US/EU,bk engineering,nc,,,software engineer,4.0,4.0,90000.0,5000.0,8000.0,0,103000.0
US/EU,i.b.m.,north carolina,NC,US,senior software engineer,18.0,12.0,29000.0,0.0,0.0,0,29000.0
US/EU,anon,los angeles,,,software developer,2.0,1.0,60000.0,0.0,0.0,0,60000.0
US/EU,series a ($8mm) funded startup,bengaluru,,,tech lead,3.5,0.25,33000.0,0.0,7500.0,0,40500.0
US/EU,liveperson,"atlanta, georgia",,GE,devops engineer,1.0,1.0,46999.0,0.0,0.0,0,46999.0
US/EU,facebook,"seattle, wa usa",WA,US,software engineer,7.0,3.0,167000.0,25000.0,25000.0,"Signing grant: 9,600 RSUs (250k) vesting over 4 years (25% at year 1, 1/36 every quarter after), currently worth $1m due to stock price, $50k-100k in refreshers on same vesting schedule each year thereafter",217000.0
US/EU,microsoft,redmon,,,software engineer,,0.0,106000.0,15000.0,20000.0,30000,141000.0
US/EU,typical norwegian consulting firm,"oslo, norway",,NO,android developer,2.0,0.5,450000.0,0.0,0.0,0,450000.0
US/EU,netflix,los gatos,,,senior software engineer,10.0,1.0,350000.0,0.0,0.0,some,350000.0
US/EU,ignition one,new york city,NY,US,software engineer,8.0,1.0,155000.0,0.0,36000.0,,191000.0
US/EU,< 5 person startup,san francisco,,,software engineer,6.0,1.0,125000.0,0.0,0.0,25000,125000.0
US/EU,lockheed martin,"owego, ny",NY,US,associate electrical engineer,1.0,1.0,60528.0,0.0,0.0,3%,60528.0
US/EU,anaheim ducks,"anaheim, ca",CA,US,"professional ice hockey player, center",16.0,10.0,9250000.0,5000000.0,,,14250000.0
US/EU,optum,"boston, ma",MA,US,junior systems engineer,1.0,3.0,80000.0,0.0,5.0,0,80005.0
US/EU,a company in sf,vancouver,,,software engineer,20.0,2.0,125000.0,0.0,1250.0,0,126250.0
US/EU,intel,"santa clara, ca",CA,US,senior software engineer,12.0,4.0,145000.0,0.0,30000.0,,175000.0
US/EU,viacom,new york city,NY,US,ios developer,1.0,0.0,92000.0,0.0,0.0,0,92000.0
US/EU,education,florida,FL,US,it director,20.0,10.0,75000.0,,,,75000.0
US/EU,netflix,los gatos,,,user interface engineer,15.0,4.0,260000.0,0.0,0.0,0,260000.0
US/EU,oracle,london,,,developer,2.0,1.5,46000.0,0.0,4000.0,0,50000.0
US/EU,series e funded > $100m,san francisco,,,cto,10.0,2.0,310000.0,0.0,85000.0,45000,395000.0
US/EU,microsoft,frankfurt,,,software engineer,6.0,2.0,73200.0,,,,73200.0
US/EU,paychex,"rochester, ny",NY,US,junior java developer,2.0,0.0,60000.0,0.0,,,60000.0
US/EU,midstage startup,"san francisco, ca",CA,US,software developer,1.0,1.0,120000.0,0.0,12000.0,1000,132000.0
US/EU,microsoft,"redmond, wa",WA,US,software developer,2.0,2.0,120000.0,8000.0,8000.0,8000,136000.0
US/EU,nokia,canada,,CA,software development engineer,3.0,3.0,57450.0,,7.0,,57457.0
US/EU,uber,san francisco,,,software engineer,1.5,1.5,137000.0,0.0,,192000,137000.0
US/EU,city of college station,"college station, tx",TX,US,systems analyst,2.0,1.0,51000.0,0.0,0.0,0,51000.0
US/EU,a series b startup,san francisco,,,ios software engineer,5.0,0.6,115000.0,,,30000,115000.0
US/EU,xoom,sf,,,software engineer,4.0,4.0,125000.0,0.0,0.0,10000,125000.0
US/EU,harvard,"cambridge, ma",MA,US,graduate student / research assistant,6.0,6.0,32000.0,0.0,0.0,0,32000.0
US/EU,nasa,washington dc,WA,US,software engineer,1.0,1.0,78000.0,,,,78000.0
US/EU,google,mountain view,,,software engineer,5.0,2.0,140000.0,30000.0,50000.0,50000,220000.0
US/EU,amex,new york,NY,US,software engineer,,,98000.0,9000.0,,,107000.0
US/EU,linklaters,new york city,NY,US,it support engineer,6.0,0.0,50000.0,0.0,0.0,0,50000.0
US/EU,exl landa,chico ca,CA,US,software qa tech,5.0,5.0,45000.0,,2000.0,,47000.0
US/EU,netsuite,"oklahoma city, ok",OK,US,sr. software engineer ii,15.0,1.0,120000.0,0.0,0.0,10000,120000.0
US/EU,poop works,san francisco,,,cto,10.0,2.0,190000.0,25000.0,25000.0,25000,240000.0
US/EU,netlight consulting,"stockholm, sweden",,SE,consultant,2.0,1.0,52200.0,0.0,0.0,0,52200.0
US/EU,large german energy company,nordrhein-westfalen,,,platform engineer,4.0,2.0,42000.0,0.0,3000.0,0,45000.0
US/EU,mozilla,paris,,,software engineer,5.0,2.0,64960.0,0.0,21000.0,0,85960.0
US/EU,airbnb,san francisco,,,software engineer,3.0,1.5,118000.0,0.0,0.0,40000,118000.0
US/EU,apple,austin,,,sr. developer,15.0,3.0,101000.0,,7000.0,25000,108000.0
US/EU,quintiq,"radnor, pa",PA,US,algorithm expert,5.0,1.0,80000.0,0.0,4000.0,500,84000.0
US/EU,startup,nyc,,,cto,21.0,2.0,150000.0,,,,150000.0
US/EU,vml,"kansas city, mo",KS,US,interactive web developer,4.0,1.0,55000.0,0.0,0.0,0,55000.0
US/EU,c2s tech,"redmond, wa",WA,US,front end developer,5.0,0.5,60000.0,0.0,0.0,0,60000.0
US/EU,earwigs,monaco,,MC,lead earwig specialist,10.0,10.0,1000000.0,1000000.0,1000000.0,"1,000,000 USD",3000000.0
US/EU,12 employee startup,"calgary, canada",,CA,front end web developer,3.0,1.0,70000.0,0.0,0.0,TBD,70000.0
US/EU,amazon,"seattle, wa",WA,US,software development engineer ii,4.0,2.0,121000.0,38000.0,0.0,10500,159000.0
US/EU,of rochester brain and cognitive sciences,rochester ny,NY,US,graduate student,3.0,3.0,26000.0,0.0,0.0,0,26000.0
US/EU,1000+ consulting company / service contractor,"dortmund, germany",,DE,software engineer,2.0,2.0,45000.0,0.0,5000.0,"1,000âÂ",50000.0
US/EU,startup,austin,,,software engineer,2.0,1.0,85000.0,,,5000,85000.0
US/EU,yahoo,sf,,,software engineer,5.0,3.0,157500.0,0.0,5000.0,80000,162500.0
US/EU,mobiquity,"gainesville, fl",FL,US,ios developer,2.0,1.25,55000.0,0.0,0.0,0,55000.0
US/EU,telus,vancouver,,,business systems analyst,4.0,3.0,60200.0,0.0,10.0,40% match on 6 percent you buy,60210.0
US/EU,adobe,san francisco,,,web developer,4.0,1.0,155000.0,5000.0,,12000,160000.0
US/EU,intel,hillsboro,,,device yield engineer,0.0,0.0,117000.0,8000.0,13000.0,1000,138000.0
US/EU,d-wave,vancouver bc,BC,CA,algorithmic software developer,3.0,1.0,90000.0,0.0,0.0,0,90000.0
US/EU,meltwater,sweden,,SE,developer,6.0,0.0,56000.0,0.0,4000.0,0,60000.0
US/EU,wyle,"lexington park, md",MD,US,software engineer,7.0,3.0,79000.0,0.0,0.0,0,79000.0
US/EU,50-person startup post series a,"washington, dc",WA,US,software engineer,,1.0,115000.0,10000.0,,5000 shares,125000.0
US/EU,lockheed martin,"austin, tx",TX,US,senior business analyst,7.0,3.0,99500.0,0.0,4000.0,0,103500.0
US/EU,an unnamed advertising agency,"halifax, ns, canada",,CA,devops lead,3.0,1.0,53000.0,0.0,1500.0,0,54500.0
US/EU,logic technology,"schenectady, ny",NY,US,technical director,13.0,12.0,93500.0,0.0,15000.0,0,108500.0
US/EU,self,"washington, dc",WA,US,independent software engineer,14.0,6.0,230000.0,0.0,0.0,,230000.0
US/EU,jp morgan,london,,,associate developer,5.0,1.0,74000.0,0.0,15000.0,0,89000.0
US/EU,government/higher education,arizona,AZ,US,developer / system analyst,6.0,3.0,46000.0,0.0,0.0,0,46000.0
